GATEWAYID,SIP REQUEST,OWNER,Type,OPERATOR,,IP,Position,Conso Max
2938,SIP/193.253.115.65/933429380 ,DIM,SIMBOX,ORANGE,GOIP30,192.168.0.15,18,
2939,SIP/193.253.115.65/933429390 ,DIM,SIMBOX,ORANGE,GOIP30,192.168.0.15,19,
2940,SIP/193.253.115.65/933429400 ,DIM,SIMBOX,ORANGE,GOIP40,192.168.0.15,20,
2941,SIP/193.253.115.65/933429410 ,DIM,SIMBOX,ORANGE,GOIP40,192.168.0.15,21,
2942,SIP/193.253.115.65/933429420 ,DIM,SIMBOX,ORANGE,GOIP40,192.168.0.15,22,
2943,SIP/193.253.115.65/933429430 ,DIM,SIMBOX,ORANGE,GOIP40,192.168.0.15,23,
2944,SIP/193.253.115.65/933429440 ,DIM,SIMBOX,ORANGE,GOIP40,192.168.0.15,24,
2945,SIP/193.253.115.65/933429450 ,DIM,SIMBOX,ORANGE,GOIP40,192.168.0.15,25,
2946,SIP/193.253.115.65/933429460 ,DIM,SIMBOX,ORANGE,GOIP40,192.168.0.15,26,
2947,SIP/193.253.115.65/933429470 ,DIM,SIMBOX,ORANGE,GOIP40,192.168.0.15,27,
2948,SIP/193.253.115.65/933429480 ,DIM,SIMBOX,ORANGE,GOIP40,192.168.0.15,28,
2949,SIP/193.253.115.65/933429490 ,DIM,SIMBOX,ORANGE,GOIP40,192.168.0.15,29,
2950,SIP/193.253.115.65/933429500 ,DIM,SIMBOX,ORANGE,GOIP50,192.168.0.15,30,
2951,SIP/193.253.115.65/933429510 ,DIM,SIMBOX,ORANGE,GOIP50,192.168.0.15,31,
2952,SIP/193.253.115.65/933429520 ,DIM,SIMBOX,ORANGE,GOIP50,192.168.0.15,32,
2961,SIP/193.253.115.65/933429610 ,DIM,SIMBOX,ORANGE,GOIP60,192.168.0.17,1,
2962,SIP/193.253.115.65/933429620 ,DIM,SIMBOX,ORANGE,GOIP60,192.168.0.17,2,
2963,SIP/193.253.115.65/933429630 ,DIM,SIMBOX,ORANGE,GOIP60,192.168.0.17,3,
2964,SIP/193.253.115.65/933429640 ,DIM,SIMBOX,ORANGE,GOIP60,192.168.0.17,4,
2965,SIP/193.253.115.65/933429650 ,DIM,SIMBOX,ORANGE,GOIP60,192.168.0.17,5,
2966,SIP/193.253.115.65/933429660 ,DIM,SIMBOX,ORANGE,GOIP60,192.168.0.17,6,
2967,SIP/193.253.115.65/933429670 ,DIM,SIMBOX,ORANGE,GOIP60,192.168.0.17,7,
2968,SIP/193.253.115.65/933429680 ,DIM,SIMBOX,ORANGE,GOIP60,192.168.0.17,8,
2971,SIP/193.253.115.65/933429710 ,DIM,SIMBOX,ORANGE,GOIP70,192.168.0.16,1,
2972,SIP/193.253.115.65/933429720 ,DIM,SIMBOX,ORANGE,GOIP70,192.168.0.16,2,
2973,SIP/193.253.115.65/933429730 ,DIM,SIMBOX,ORANGE,GOIP70,192.168.0.16,3,
2974,SIP/193.253.115.65/933429740 ,DIM,SIMBOX,ORANGE,GOIP70,192.168.0.16,4,
2975,SIP/193.253.115.65/933429750 ,DIM,SIMBOX,ORANGE,GOIP70,192.168.0.16,5,
2976,SIP/193.253.115.65/933429760 ,DIM,SIMBOX,ORANGE,GOIP70,192.168.0.16,6,
2977,SIP/193.253.115.65/933429770 ,DIM,SIMBOX,ORANGE,GOIP70,192.168.0.16,7,
2978,SIP/193.253.115.65/933429780 ,DIM,SIMBOX,ORANGE,GOIP70,192.168.0.16,8,
2981,SIP/193.253.115.65/933429810 ,DIM,SIMBOX,ORANGE,GOIP80,192.168.0.18,1,
2982,SIP/193.253.115.65/933429820 ,DIM,SIMBOX,ORANGE,GOIP80,192.168.0.18,2,
2983,SIP/193.253.115.65/933429830 ,DIM,SIMBOX,ORANGE,GOIP80,192.168.0.18,3,
2984,SIP/193.253.115.65/933429840 ,DIM,SIMBOX,ORANGE,GOIP80,192.168.0.18,4,
2985,SIP/193.253.115.65/933429850 ,DIM,SIMBOX,ORANGE,GOIP80,192.168.0.18,5,
2986,SIP/193.253.115.65/933429860 ,DIM,SIMBOX,ORANGE,GOIP80,192.168.0.18,6,
2987,SIP/193.253.115.65/933429870 ,DIM,SIMBOX,ORANGE,GOIP80,192.168.0.18,7,
2988,SIP/193.253.115.65/933429880 ,DIM,SIMBOX,ORANGE,GOIP80,192.168.0.18,8,
2991,SIP/193.253.115.65/933429910 ,DIM,SIMBOX,ORANGE,GOIP90,192.168.0.19,1,
2992,SIP/193.253.115.65/933429920 ,DIM,SIMBOX,ORANGE,GOIP90,192.168.0.19,2,
2993,SIP/193.253.115.65/933429930 ,DIM,SIMBOX,ORANGE,GOIP90,192.168.0.19,3,
2994,SIP/193.253.115.65/933429940 ,DIM,SIMBOX,ORANGE,GOIP90,192.168.0.19,4,
2995,SIP/193.253.115.65/933429950 ,DIM,SIMBOX,ORANGE,GOIP90,192.168.0.19,5,
2996,SIP/193.253.115.65/933429960 ,DIM,SIMBOX,ORANGE,GOIP90,192.168.0.19,6,
2997,SIP/193.253.115.65/933429970 ,DIM,SIMBOX,ORANGE,GOIP90,192.168.0.19,7,
2998,SIP/193.253.115.65/933429980 ,DIM,SIMBOX,ORANGE,GOIP90,192.168.0.19,8,
2651,SIP/193.253.115.65/933426510 ,DIM,SIMBOX,ORANGE,GOIP140,192.168.0.25,1,
2652,SIP/193.253.115.65/933426520 ,DIM,SIMBOX,ORANGE,GOIP140,192.168.0.25,2,
2653,SIP/193.253.115.65/933426530 ,DIM,SIMBOX,ORANGE,GOIP140,192.168.0.25,3,
2654,SIP/193.253.115.65/933426540 ,DIM,SIMBOX,ORANGE,GOIP140,192.168.0.25,4,
2655,SIP/193.253.115.65/933426550 ,DIM,SIMBOX,ORANGE,GOIP140,192.168.0.25,5,
2656,SIP/193.253.115.65/933426560 ,DIM,SIMBOX,ORANGE,GOIP140,192.168.0.25,6,
2657,SIP/193.253.115.65/933426570 ,DIM,SIMBOX,ORANGE,GOIP140,192.168.0.25,7,
2658,SIP/193.253.115.65/933426580 ,DIM,SIMBOX,ORANGE,GOIP140,192.168.0.25,8,
2661,SIP/193.253.115.65/933426610 ,DIM,SIMBOX,ORANGE,GOIP150,192.168.0.26,1,
2662,SIP/193.253.115.65/933426620 ,DIM,SIMBOX,ORANGE,GOIP150,192.168.0.26,2,
2663,SIP/193.253.115.65/933426630 ,DIM,SIMBOX,ORANGE,GOIP150,192.168.0.26,3,
2664,SIP/193.253.115.65/933426640 ,DIM,SIMBOX,ORANGE,GOIP150,192.168.0.26,4,
2665,SIP/193.253.115.65/933426650 ,DIM,SIMBOX,ORANGE,GOIP150,192.168.0.26,5,
2666,SIP/193.253.115.65/933426660 ,DIM,SIMBOX,ORANGE,GOIP150,192.168.0.26,6,
2667,SIP/193.253.115.65/933426670 ,DIM,SIMBOX,ORANGE,GOIP150,192.168.0.26,7,
2668,SIP/193.253.115.65/933426680 ,DIM,SIMBOX,ORANGE,GOIP150,192.168.0.26,8,
2301,SIP/41.204.105.204/933423010 ,FRED,SIMBOX,ORANGE,GOIP00,s3-192.168.0.100,1,
2302,SIP/41.204.105.204/933423020 ,FRED,SIMBOX,ORANGE,GOIP00,s3-192.168.0.100,2,
2303,SIP/41.204.105.204/933423030 ,FRED,SIMBOX,ORANGE,GOIP00,s3-192.168.0.100,3,
2304,SIP/41.204.105.204/933423040 ,FRED,SIMBOX,ORANGE,GOIP00,s3-192.168.0.100,4,
2305,SIP/41.204.105.204/933423050 ,FRED,SIMBOX,ORANGE,GOIP00,s3-192.168.0.100,5,
2306,SIP/41.204.105.204/933423060 ,FRED,SIMBOX,ORANGE,GOIP00,s3-192.168.0.100,6,
2307,SIP/41.204.105.204/933423070 ,FRED,SIMBOX,ORANGE,GOIP00,s3-192.168.0.100,7,
2308,SIP/41.204.105.204/933423080 ,FRED,SIMBOX,ORANGE,GOIP00,s3-192.168.0.100,8,
2309,SIP/41.204.105.204/933423090 ,FRED,SIMBOX,ORANGE,GOIP00,s3-192.168.0.100,9,
2310,SIP/41.204.105.204/933423100 ,FRED,SIMBOX,ORANGE,GOIP10,s3-192.168.0.100,10,
2311,SIP/41.204.105.204/933423110 ,FRED,SIMBOX,ORANGE,GOIP10,s3-192.168.0.100,11,
2312,SIP/41.204.105.204/933423120 ,FRED,SIMBOX,ORANGE,GOIP10,s3-192.168.0.100,12,
2313,SIP/41.204.105.204/933423130 ,FRED,SIMBOX,ORANGE,GOIP10,s3-192.168.0.100,13,
2314,SIP/41.204.105.204/933423140 ,FRED,SIMBOX,ORANGE,GOIP10,s3-192.168.0.100,14,
2315,SIP/41.204.105.204/933423150 ,FRED,SIMBOX,ORANGE,GOIP10,s3-192.168.0.100,15,
2316,SIP/41.204.105.204/933423160 ,FRED,SIMBOX,ORANGE,GOIP10,s3-192.168.0.100,16,
2317,SIP/41.204.105.204/933423170 ,FRED,SIMBOX,ORANGE,GOIP10,s3-192.168.0.100,17,
2318,SIP/41.204.105.204/933423180 ,FRED,SIMBOX,ORANGE,GOIP10,s3-192.168.0.100,18,
2319,SIP/41.204.105.204/933423190 ,FRED,SIMBOX,ORANGE,GOIP10,s3-192.168.0.100,19,
2320,SIP/41.204.105.204/933423200 ,FRED,SIMBOX,ORANGE,GOIP20,s3-192.168.0.100,20,
2321,SIP/41.204.105.204/933423210 ,FRED,SIMBOX,ORANGE,GOIP20,s3-192.168.0.100,21,
2322,SIP/41.204.105.204/933423220 ,FRED,SIMBOX,ORANGE,GOIP20,s3-192.168.0.100,22,
2323,SIP/41.204.105.204/933423230 ,FRED,SIMBOX,ORANGE,GOIP20,s3-192.168.0.100,23,
2324,SIP/41.204.105.204/933423240 ,FRED,SIMBOX,ORANGE,GOIP20,s3-192.168.0.100,24,
2325,SIP/41.204.105.204/933423250 ,FRED,SIMBOX,ORANGE,GOIP20,s3-192.168.0.100,25,
2326,SIP/41.204.105.204/933423260 ,FRED,SIMBOX,TELMA,GOIP20,s3-192.168.0.100,26,
2327,SIP/41.204.105.204/933423270 ,FRED,SIMBOX,TELMA,GOIP20,s3-192.168.0.100,27,
2328,SIP/41.204.105.204/933423280 ,FRED,SIMBOX,TELMA,GOIP20,s3-192.168.0.100,28,
2329,SIP/41.204.105.204/933423290 ,FRED,SIMBOX,TELMA,GOIP20,s3-192.168.0.100,29,
2330,SIP/41.204.105.204/933423300 ,FRED,SIMBOX,TELMA,GOIP30,s3-192.168.0.100,30,
2331,SIP/41.204.105.204/933423310 ,FRED,SIMBOX,TELMA,GOIP30,s3-192.168.0.100,31,
2332,SIP/41.204.105.204/933423320 ,FRED,SIMBOX,TELMA,GOIP30,s3-192.168.0.100,32,
1071,SIP/41.204.105.204/933410710 ,FRED,SIMBOX,TELMA,GOIP40,s3-192.168.0.101,1,
1072,SIP/41.204.105.204/933410720 ,FRED,SIMBOX,TELMA,GOIP40,s3-192.168.0.101,2,
1073,SIP/41.204.105.204/933410730 ,FRED,SIMBOX,TELMA,GOIP40,s3-192.168.0.101,3,
1074,SIP/41.204.105.204/933410740 ,FRED,SIMBOX,TELMA,GOIP40,s3-192.168.0.101,4,
1075,SIP/41.204.105.204/933410750 ,FRED,SIMBOX,TELMA,GOIP40,s3-192.168.0.101,5,
1076,SIP/41.204.105.204/933410760 ,FRED,SIMBOX,TELMA,GOIP40,s3-192.168.0.101,6,
1077,SIP/41.204.105.204/933410770 ,FRED,SIMBOX,TELMA,GOIP40,s3-192.168.0.101,7,
1078,SIP/41.204.105.204/933410780 ,FRED,SIMBOX,TELMA,GOIP40,s3-192.168.0.101,8,
3091,SIP/41.204.105.204/933430910 ,FERD,SIMBOX,AIRTEL,GOIP50,s3-192.168.0.102,1,
3092,SIP/41.204.105.204/933430920 ,FERD,SIMBOX,AIRTEL,GOIP50,s3-192.168.0.102,2,
3093,SIP/41.204.105.204/933430930 ,FERD,SIMBOX,AIRTEL,GOIP50,s3-192.168.0.102,3,
3094,SIP/41.204.105.204/933430940 ,FERD,SIMBOX,AIRTEL,GOIP50,s3-192.168.0.102,4,
3095,SIP/41.204.105.204/933430950 ,FERD,SIMBOX,AIRTEL,GOIP50,s3-192.168.0.102,5,
3096,SIP/41.204.105.204/933430960 ,FERD,SIMBOX,AIRTEL,GOIP50,s3-192.168.0.102,6,
3097,SIP/41.204.105.204/933430970 ,FERD,SIMBOX,AIRTEL,GOIP50,s3-192.168.0.102,7,
3098,SIP/41.204.105.204/933430980 ,FERD,SIMBOX,AIRTEL,GOIP50,s3-192.168.0.102,8,
2611,SIP/193.253.115.65/933426110 ,DIM,SIMBOX,ORANGE,GOIP100,192.168.0.20,1,
2612,SIP/193.253.115.65/933426120 ,DIM,SIMBOX,ORANGE,GOIP100,192.168.0.20,2,
2613,SIP/193.253.115.65/933426130 ,DIM,SIMBOX,ORANGE,GOIP100,192.168.0.20,3,
2614,SIP/193.253.115.65/933426140 ,DIM,SIMBOX,ORANGE,GOIP100,192.168.0.20,4,
2615,SIP/193.253.115.65/933426150 ,DIM,SIMBOX,ORANGE,GOIP100,192.168.0.20,5,
2616,SIP/193.253.115.65/933426160 ,DIM,SIMBOX,ORANGE,GOIP100,192.168.0.20,6,
2617,SIP/193.253.115.65/933426170 ,DIM,SIMBOX,ORANGE,GOIP100,192.168.0.20,7,
2618,SIP/193.253.115.65/933426180 ,DIM,SIMBOX,ORANGE,GOIP100,192.168.0.20,8,
2621,SIP/193.253.115.65/933426210 ,DIM,SIMBOX,ORANGE,GOIP110,192.168.0.21,1,
2622,SIP/193.253.115.65/933426220 ,DIM,SIMBOX,ORANGE,GOIP110,192.168.0.21,2,
2623,SIP/193.253.115.65/933426230 ,DIM,SIMBOX,ORANGE,GOIP110,192.168.0.21,3,
2624,SIP/193.253.115.65/933426240 ,DIM,SIMBOX,ORANGE,GOIP110,192.168.0.21,4,
2625,SIP/193.253.115.65/933426250 ,DIM,SIMBOX,ORANGE,GOIP110,192.168.0.21,5,
2626,SIP/193.253.115.65/933426260 ,DIM,SIMBOX,ORANGE,GOIP110,192.168.0.21,6,
2627,SIP/193.253.115.65/933426270 ,DIM,SIMBOX,ORANGE,GOIP110,192.168.0.21,7,
2628,SIP/193.253.115.65/933426270 ,DIM,SIMBOX,ORANGE,GOIP110,192.168.0.21,8,
2631,SIP/193.253.115.65/933426310 ,DIM,SIMBOX,ORANGE,GOIP120,192.168.0.22,1,
2632,SIP/193.253.115.65/933426320 ,DIM,SIMBOX,ORANGE,GOIP120,192.168.0.22,2,
2633,SIP/193.253.115.65/933426330 ,DIM,SIMBOX,ORANGE,GOIP120,192.168.0.22,3,
2634,SIP/193.253.115.65/933426340 ,DIM,SIMBOX,ORANGE,GOIP120,192.168.0.22,4,
2635,SIP/193.253.115.65/933426350 ,DIM,SIMBOX,ORANGE,GOIP120,192.168.0.22,5,
2636,SIP/193.253.115.65/933426360 ,DIM,SIMBOX,ORANGE,GOIP120,192.168.0.22,6,
2637,SIP/193.253.115.65/933426370 ,DIM,SIMBOX,ORANGE,GOIP120,192.168.0.22,7,
2638,SIP/193.253.115.65/933426380 ,DIM,SIMBOX,ORANGE,GOIP120,192.168.0.22,8,
2641,SIP/193.253.115.65/933426410 ,DIM,SIMBOX,ORANGE,GOIP130,192.168.0.23,1,
2642,SIP/193.253.115.65/933426420 ,DIM,SIMBOX,ORANGE,GOIP130,192.168.0.23,2,
2643,SIP/193.253.115.65/933426430 ,DIM,SIMBOX,ORANGE,GOIP130,192.168.0.23,3,
2644,SIP/193.253.115.65/933426440 ,DIM,SIMBOX,ORANGE,GOIP130,192.168.0.23,4,
2651,SIP/193.253.115.65/933426510 ,DIM,SIMBOX,ORANGE,GOIP140,192.168.0.25,1,
2652,SIP/193.253.115.65/933426520 ,DIM,SIMBOX,ORANGE,GOIP140,192.168.0.25,2,
2653,SIP/193.253.115.65/933426530 ,DIM,SIMBOX,ORANGE,GOIP140,192.168.0.25,3,
2654,SIP/193.253.115.65/933426540 ,DIM,SIMBOX,ORANGE,GOIP140,192.168.0.25,4,
2655,SIP/193.253.115.65/933426550 ,DIM,SIMBOX,ORANGE,GOIP140,192.168.0.25,5,
2656,SIP/193.253.115.65/933426560 ,DIM,SIMBOX,ORANGE,GOIP140,192.168.0.25,6,
2657,SIP/193.253.115.65/933426570 ,DIM,SIMBOX,ORANGE,GOIP140,192.168.0.25,7,
2658,SIP/193.253.115.65/933426580 ,DIM,SIMBOX,ORANGE,GOIP140,192.168.0.25,8,
2661,SIP/193.253.115.65/933426610 ,DIM,SIMBOX,ORANGE,GOIP150,192.168.0.26,1,
2662,SIP/193.253.115.65/933426620 ,DIM,SIMBOX,ORANGE,GOIP150,192.168.0.26,2,
2663,SIP/193.253.115.65/933426630 ,DIM,SIMBOX,ORANGE,GOIP150,192.168.0.26,3,
2664,SIP/193.253.115.65/933426640 ,DIM,SIMBOX,ORANGE,GOIP150,192.168.0.26,4,
2665,SIP/193.253.115.65/933426650 ,DIM,SIMBOX,ORANGE,GOIP150,192.168.0.26,5,
2666,SIP/193.253.115.65/933426660 ,DIM,SIMBOX,ORANGE,GOIP150,192.168.0.26,6,
2667,SIP/193.253.115.65/933426670 ,DIM,SIMBOX,ORANGE,GOIP150,192.168.0.26,7,
2668,SIP/193.253.115.65/933426680 ,DIM,SIMBOX,ORANGE,GOIP150,192.168.0.26,8,
